"Cornell Capa","1918-04-10"
"Robert Capa","1913-10-22"
"Elliott Erwitt","1928-07-26"
"Martine Franck","1938-04-02"
"Philip Jones Griffiths","1936-02-18"
"Ara Güler","1928-08-16"
"Ernst Haas","1921-03-02"
"Charles Harbutt","1935-07-29"
"Carl de Keyzer","1958-12-27"
"Inge Morath","1923-05-27"
"Yoko Ono","1933-02-18"
"Thomas Thornycroft","1815-05-19"
"Yasuda Yukihiko","1884-02-16"
"Hermann-Paul","1864-12-27"
"Koloman Moser","1868-03-30"
"Helen Berman","1936-04-06"
"Caspar David Friedrich","1774-09-05"
"Edward Ruscha","1937-12-16"
"Edgar Stoebel","1909-12-21"
"Wifredo Lam","1902-12-02"
"Ralf Metzenmacher","1964-07-26"
"Jessie Willcox Smith","1863-09-06"
"F.L. Griggs","1876-10-30"
"Bruce Nauman","1941-12-06"
"John E. Berninger","1896-12-13"
"Theodor Aman","1831-03-20"
"Ion Valentin Anestin","1900-12-24"
"Carl Larsson","1853-05-28"
"Fernand Khnopff","1858-09-12"
"Eser Afacan","1953-08-08"
"Charles Sargeant Jagger","1885-12-17"
"Rosy Lamb","1973-07-23"
"Kuroda Seiki","1866-06-29"
"Akihiro Yamada","1957-02-10"
"Joan Brown","1938-02-13"
"Manuel Neri","1930-04-12"
"Henri de Toulouse-Lautrec","1864-11-24"
"Jean-Léon Gérôme","1824-05-11"
"William Westall","1781-10-12"
"Victor Vasarely","1906-04-09"
"Helen Dahm","1878-05-21"
"Brian Wood","1972-01-29"
"Giorgio Vasari","1511-07-30"
"Giuseppe Moretti","1857-02-03"
"Mikhail Vrubel","1856-03-17"
"Reginald Marsh","1898-03-14"
"Sara Shamma","1975-11-26"
"Louise Fishman","1939-01-14"
"Wu Guanzhong","1919-08-29"
"Lascăr Vorel","1879-08-19"
"John Flaxman","1755-07-06"
"Mikalojus Konstantinas Čiurlionis","1875-09-22"
"Ignat Bednarik","1882-03-08"
"Harry Baron","1944-01-21"
"Alfons Mucha","1860-07-24"
"Graham Sutherland","1903-08-24"
"Harry Watson","1871-06-13"
"Armando Reverón","1889-05-10"
"Andrés de Santa Maria","1860-12-16"
"Gerald Scarfe","1936-06-01"
"Leonardo Bistolfi","1859-03-14"
"Séraphine Louis","1864-09-02"
"John Trumbull","1756-06-06"
"Edward Gorey","1925-02-22"
"Chuck Close","1940-07-05"
"Luis Geraldes","1957-05-15"
"Kaburagi Kiyokata","1878-08-31"
"Fernando Amorsolo","1892-05-30"
"Jean-Pierre Yvaral","1934-01-25"
"Tanaka Isson","1908-07-22"
"Anselm Feuerbach","1829-09-12"
"George Hayter","1792-12-17"
"Dan Graham","1942-03-31"
"Wolfgang Tillmans","1968-08-16"
"Lawrence Alma-Tadema","1836-01-08"
"Nesim Tahirović","1941-10-23"
"Ralph Gibson","1939-01-16"
"William Carrick","1827-12-31"
"Hiroko Sadanobu","1978-08-07"
"Artemisia Gentileschi","1593-07-08"
"Thierry Veltman","1939-12-16"
"Gonzalo Morales Sáurez","1945-07-09"
"Peter Eugene Ball","1943-03-19"
"Shimomura Kanzan","1873-04-10"
"Thomas Hovenden","1840-12-28"
"Otto Freundlich","1878-07-10"
"Alzek Misheff","1940-10-08"
"Margaret Kilgallen","1967-10-28"
"John Latham","1921-02-23"
"William Christenberry","1936-11-05"
"Nadir Afonso","1920-12-04"
"William Frederick Yeames","1835-12-18"
"Maksimilijan Vanka","1889-10-11"
"Andrew Qappik","1964-02-25"
"Tomioka Tessai","1836-01-25"
"Eva Navarro","1967-09-07"
"Mişu Popp","1827-03-19"
"Robert Sands","1943-09-15"
"Mark Powell","1968-09-04"
"Jeff Willmore","1954-12-23"
"George Blackall Simonds","1843-10-06"
"Angelica Kauffmann","1741-10-30"
"Juan Fernando Cobo","1959-08-27"
"John Fekner","1950-10-06"
"Kazimir Malevich","1878-02-23"
"Rick Castro","1958-07-20"
"Helen Bradley","1900-11-20"
"Jerome Bech","1970-02-11"
"Eliot Porter","1901-12-06"
"Hugo Kārlis Grotuss","1884-01-17"
"Jirayr Zorthian","1911-04-14"
"Jeff Soto","1975-06-03"
"L. S. Lowry","1887-11-01"
"Andrejs Grants","1955-03-07"
"Roy Lichtenstein","1923-10-27"
"Shuli Nachshon","1951-11-13"
"Tsuchida Bakusen","1887-02-09"
"Frederic Leighton, 1st Baron Leighton","1830-12-03"
"Violet Oakley","1874-06-10"
"Terry Rodgers","1947-09-11"
"Albert Bierstadt","1830-01-08"
"Bridget Riley","1931-04-24"
"Aelbert Cuyp","1620-10-20"
"Osman Hamdi Bey","1842-12-30"
"Tony Robbin","1943-11-24"
"Corbinian Böhm","1966-08-07"
"Ion Andreescu","1850-02-15"
"Justin Michael Jenkins","1971-02-23"
"Constantin Daniel Stahi","1844-11-14"
"Yousuf Karsh","1908-12-23"
"Edward Hodges Baily","1788-03-10"
"Toru Iwaya","1936-02-12"
"John William Waterhouse","1849-04-06"
"Aaron Bohrod","1907-11-21"
"Glen E. Friedman","1962-03-03"
"Aurel Băeşu","1896-05-26"
"Hilary Knight","1926-11-01"
"Henriette Valium","1959-05-04"
"Alexandre Grégoire","1922-08-29"
"Andy Goldsworthy","1956-07-26"
